Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_02x20_Odd_Even","5019514000",135.000000,-60.500000,0.000000,top
"J2","Conn_02x20_Odd_Even","PinSocket_2x20_P2.54mm_Vertical",109.950000,-44.010000,90.000000,top
